Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Connor Dewar,PIT,C,39,12,6,6,0.31,10.2,-3,8,1,0,0,50.0,0.15,1.51,2026-01-03 03:36:03
Jack Drury,COL,C,39,12,6,6,0.31,14.0,8,16,0,0,0,50.0,0.15,1.1,2026-01-03 03:36:03
Miles Wood,CBJ,L,32,12,8,4,0.38,15.7,-6,16,1,0,0,66.7,0.12,1.59,2026-01-03 03:36:03
Martin Fehérváry,WSH,D,41,12,3,9,0.29,6.2,10,17,0,0,0,25.0,0.22,1.17,2026-01-03 03:36:03
Ian Cole,UTA,D,41,12,2,10,0.29,6.5,15,24,0,0,0,16.7,0.24,0.76,2026-01-03 03:36:03
Eric Robinson,CAR,L,34,12,9,3,0.35,18.0,4,2,2,0,0,75.0,0.09,1.47,2026-01-03 03:36:03
Barrett Hayton,UTA,C,36,11,4,7,0.31,6.7,1,26,0,2,0,36.4,0.19,1.67,2026-01-03 03:36:03
Matt Roy,WSH,D,41,11,1,10,0.27,1.9,16,6,0,0,0,9.1,0.24,1.27,2026-01-03 03:36:03
Jared McCann,SEA,L,15,11,7,4,0.73,18.9,1,5,1,2,0,63.6,0.27,2.47,2026-01-03 03:36:03
Colton Parayko,STL,D,42,11,0,11,0.26,0.0,-7,12,0,0,0,0.0,0.26,1.12,2026-01-03 03:36:03
Ben Hutton,VGK,D,32,11,6,5,0.34,12.2,0,15,1,0,0,54.5,0.16,1.53,2026-01-03 03:36:03
Taylor Raddysh,NYR,R,40,11,7,4,0.28,21.2,5,6,0,0,1,63.6,0.1,0.82,2026-01-03 03:36:03
Brenden Dillon,NJD,D,40,11,3,8,0.28,10.3,-3,35,2,0,0,27.3,0.2,0.72,2026-01-03 03:36:03
Easton Cowan,TOR,R,29,11,4,7,0.38,8.2,1,4,0,0,0,36.4,0.24,1.69,2026-01-03 03:36:03
Aatu Raty,VAN,C,32,11,3,8,0.34,11.1,3,16,1,0,0,27.3,0.25,0.84,2026-01-03 03:36:03
Ty Dellandrea,SJS,C,40,11,2,9,0.28,4.8,-15,16,0,0,1,18.2,0.22,1.05,2026-01-03 03:36:03
Steven Lorentz,TOR,C,33,11,4,7,0.33,13.3,1,10,0,0,1,36.4,0.21,0.91,2026-01-03 03:36:03
Alex Killorn,ANA,L,41,11,2,9,0.27,3.0,0,18,0,0,0,18.2,0.22,1.61,2026-01-03 03:36:03
Mason Appleton,DET,C,32,11,5,6,0.34,14.3,-1,24,2,0,0,45.5,0.19,1.09,2026-01-03 03:36:03
Samuel Girard,COL,D,24,11,3,8,0.46,13.6,11,2,1,0,0,27.3,0.33,0.92,2026-01-03 03:36:03
Ross Johnston,ANA,L,39,11,2,9,0.28,9.1,-2,62,0,0,0,18.2,0.23,0.56,2026-01-03 03:36:03
Pavel Mintyukov,ANA,D,36,11,5,6,0.31,13.5,1,4,2,0,0,45.5,0.17,1.03,2026-01-03 03:36:03
Kent Johnson,CBJ,C,38,11,3,8,0.29,5.3,-12,6,0,0,0,27.3,0.21,1.5,2026-01-03 03:36:03
Andrew Mangiapane,EDM,L,40,11,5,6,0.28,12.5,-17,32,1,0,0,45.5,0.15,1.0,2026-01-03 03:36:03
Alex Steeves,BOS,C,24,11,8,3,0.46,24.2,4,23,0,1,1,72.7,0.12,1.38,2026-01-03 03:36:03
Sean Kuraly,BOS,C,41,11,3,8,0.27,5.1,-1,34,0,0,0,27.3,0.2,1.44,2026-01-03 03:36:03
Sean Walker,CAR,D,40,11,4,7,0.28,4.4,-10,18,0,0,0,36.4,0.18,2.28,2026-01-03 03:36:03
Owen Power,BUF,D,38,11,3,8,0.29,5.3,-3,4,0,0,0,27.3,0.21,1.5,2026-01-03 03:36:03
Oliver Moore,CHI,C,28,11,3,8,0.39,8.6,-4,6,0,0,0,27.3,0.29,1.25,2026-01-03 03:36:03
